"","RA0","RA1","RA2","RA3","RA4","RA5","site"
"Beads",0,9.81784686677253,5.6836550919953,4.64486069786952,8.35899350519354,71.4946438381691,"Lake"
"NoBeads",0,11.0256432461178,6.09321213650582,6.92767676382701,9.38362983338956,66.5698380201598,"Lake"
"PowerSoil",0,16.2736551067244,8.28741967907379,8.7620559210556,7.76113896403212,58.9157303291141,"Lake"
"Beads1",0,47.0434058603241,10.381765484204,6.97705093823542,9.57919313367689,26.0185845835596,"River"
"NoBeads1",0,44.0249256256322,12.226001870998,9.61135080130924,9.11945674522371,25.0182649568368,"River"
"PowerSoil1",0,48.1441586033644,12.1567514101898,8.43329965838988,7.58422405936049,23.6815662686954,"River"
"Beads2",0,2.46383901946769,1.4278015227963,1.39120029854261,2.50295857090886,92.2142005882845,"Pond"
"NoBeads2",0,1.72114980200704,0.995691626104326,2.58762111203849,1.54655000251839,93.1489874573318,"Pond"
"PowerSoil2",0,2.17893009854228,1.86975722948173,3.09852037734184,8.03890890112026,84.8138833935139,"Pond"
"Beads3",0,2.11092763039571,1.43333660074704,1.81704054130245,3.66658761481766,90.9721076127371,"Sea"
"NoBeads3",0,2.88573744100657,2.16167966170358,2.4954291048704,3.42474509486511,89.0324086975543,"Sea"
"PowerSoil3",0,3.61641641631737,2.41480276661491,3.66882354292292,3.47236251026274,86.8275947638821,"Sea"
